Дата;Процент попадания данных из источника 1 в итоговый отчет;Процент попадания данных из источника 2 в итоговый отчет;Процент попадания данных из источника 3 в итоговый отчет;Процент попадания данных из хотя бы одного источника данных в итоговый отчет;Среднее количество записей из источника 1, попавшее в отчет (только для отчетов с данными из источника 1);Среднее количество записей из источника 2, попавшее в отчет (только для отчетов с данными из источника 2);Среднее количество записей из источника 3, попавшее в отчет (только для отчетов с данными из источника 3);Среднее количество записей из любого источника, попавших в отчет (только для отчетов с данными хотя бы из одного источника)
01.07.2024;27,5;38,8;5,4;49,6;1,321;1,523;1,185;2,052
02.07.2024;26,8;38,9;5,7;49,5;1,333;1,511;1,2;2,048
03.07.2024;26;38;6;48,6;1,303;1,508;1,201;2,025
04.07.2024;26,2;37,9;5,7;48,3;1,339;1,518;1,214;2,061
05.07.2024;26,5;37,8;5,5;48,4;1,323;1,522;1,224;2,054
06.07.2024;26,6;39,5;5,6;49,2;1,298;1,537;1,213;2,07
07.07.2024;26,7;39,1;5,7;49,4;1,306;1,542;1,234;2,07
08.07.2024;26,4;38,3;5,5;48,5;1,32;1,504;1,237;2,047
09.07.2024;26,7;38,1;5,6;48,4;1,314;1,505;1,213;2,048
10.07.2024;26,1;37,7;5,6;48;1,33;1,519;1,2;2,059
11.07.2024;26,8;38,5;6,1;48,8;1,309;1,505;1,232;2,062
12.07.2024;26,6;38,1;5,8;48,8;1,313;1,491;1,169;2,022
13.07.2024;26,4;39,4;6;49,3;1,333;1,515;1,22;2,071
14.07.2024;26,3;39;5,7;49;1,333;1,511;1,235;2,063
15.07.2024;26,4;39,3;5,8;49,4;1,339;1,518;1,228;2,069
16.07.2024;26,3;38,9;5,6;48,7;1,319;1,531;1,197;2,074
17.07.2024;26,5;38;5,5;48,2;1,328;1,535;1,195;2,079
18.07.2024;26,2;37,8;5,7;48,2;1,329;1,511;1,166;2,048
19.07.2024;26,8;39,2;5,7;49,6;1,301;1,493;1,189;2,021
20.07.2024;27,4;38,9;6,6;49,7;1,312;1,522;1,177;2,068
21.07.2024;27,4;38,6;5,9;49,3;1,328;1,514;1,174;2,066
22.07.2024;26,7;38;5,7;48,6;1,326;1,521;1,197;2,059
23.07.2024;26,9;38;5,6;48,6;1,328;1,518;1,193;2,06
24.07.2024;27;37,8;5,6;48,8;1,311;1,506;1,222;2,032
25.07.2024;28;39,9;5,8;50,5;1,325;1,51;1,197;2,067
26.07.2024;27,3;38,9;6,1;49,5;1,33;1,526;1,186;2,08
27.07.2024;27,4;38,1;6,1;48,8;1,308;1,494;1,215;2,049
28.07.2024;26,6;38,7;5,9;49,1;1,32;1,499;1,218;2,043
29.07.2024;26;38;5,9;48;1,327;1,498;1,208;2,052
30.07.2024;26,8;37,5;5,9;48,1;1,319;1,492;1,217;2,044
31.07.2024;26,1;37,3;5,6;47,6;1,319;1,515;1,191;2,05
01.08.2024;26,5;37,8;6;48,3;1,335;1,522;1,192;2,07
02.08.2024;26,8;37,7;5,9;48,5;1,325;1,513;1,206;2,059
03.08.2024;26;37,6;5,8;47,7;1,333;1,5;1,183;2,055
04.08.2024;26,1;37,8;6;48,3;1,322;1,504;1,213;2,044
05.08.2024;26,3;38,3;5,6;48,3;1,324;1,493;1,189;2,039
06.08.2024;26,4;38,1;5,3;48,1;1,332;1,5;1,208;2,047
07.08.2024;26,4;38,6;5,4;48,5;1,311;1,495;1,194;2,034
08.08.2024;26,5;38,2;5,7;48,6;1,32;1,485;1,187;2,026
09.08.2024;27,1;38,5;5,7;48,7;1,33;1,513;1,215;2,077
10.08.2024;28;39,6;6,2;50,2;1,333;1,52;1,229;2,094
11.08.2024;26,7;38,7;6;49,1;1,329;1,513;1,198;2,06
12.08.2024;26,1;37,1;5,8;47,6;1,336;1,508;1,199;2,055
13.08.2024;26,3;38,3;5,5;48,4;1,324;1,539;1,232;2,077
14.08.2024;26,3;37,3;5,8;47,8;1,328;1,505;1,204;2,052
15.08.2024;26,7;38,2;5,6;49,1;1,319;1,495;1,194;2,02
16.08.2024;27,1;38,7;5,9;49;1,331;1,503;1,211;2,067
17.08.2024;26,6;38,5;5,8;48,8;1,325;1,512;1,199;2,056
18.08.2024;27,1;38,1;5,7;48,7;1,323;1,515;1,23;2,067
19.08.2024;26,2;37,9;5,8;48;1,334;1,498;1,183;2,058
20.08.2024;26,4;37,8;5,9;48,3;1,313;1,498;1,192;2,036
21.08.2024;27,2;38,4;5,2;48,9;1,316;1,481;1,197;2,024
22.08.2024;26,5;37,6;5,6;48,2;1,334;1,518;1,216;2,059
23.08.2024;27,2;38,5;5,7;49;1,316;1,493;1,225;2,048
24.08.2024;26,8;39,5;5,9;49,6;1,339;1,529;1,192;2,085
25.08.2024;26,2;38,9;5,8;48,5;1,323;1,519;1,211;2,078
26.08.2024;26,2;37,6;6;48;1,321;1,506;1,224;2,054
27.08.2024;26,7;38,5;5,4;48,7;1,32;1,499;1,174;2,038
